HE, Hold'em
OM, Omaha
O8, Omaha Hi/Lo
ST, 7 Card Stud
S8, 7 Card Stud Hi/Lo
RZ, Razz
LB, Lowball
DC, Dealer's Choice
MX, Mixed Games
SK, Scandinavian 5 Card Stud (Soko)
5D, 5 Card Draw
SD, 5 Card Stud Strip Deck
5S, 5 Card Stud
TA, Triple Draw A-5
CV, Courchevel
AV, Aviation
CP, Crazy Pineapple
MP, Mexican Poker
H8, Hold'em Hi/Lo
MN, Manila
D6, Double Draw Lowball A-6
A5, Draw Lowball A-5
TD, Triple Draw Lowball
T2, Triple Draw 2-7
KA, Kalooki
3B, 3 Card Brag
27, No Limit 2-7 Single Draw
M2, 2 Card Manila
P8, Crazy Pineapple Hi/Lo
CH, Chinese Poker
HR, H.O.R.S.E.
SH, S.H.O.E.
8G, 8-Game
HS, Hold'em Short Deck
BO, Big O